index,cameraName,cameraIndexCode,gbIndexCode,channelNo,hlsUrl
59,配电房1,bdc59d36319c4898b9450a94f726e74a,42011101581314000584,2,http://111.4.138.205:18080/hls/bdc59d36319c4898b9450a94f726e74a/index.m3u8
60,水泵房,25ec8fe2f0d74b5cb281237f9c52db74,42011101581314000583,3,http://111.4.138.205:18080/hls/25ec8fe2f0d74b5cb281237f9c52db74/index.m3u8
61,物业前台,4038c7c96b5642e9b7bd2c6cb0cccf68,42011101581314000582,4,http://111.4.138.205:18080/hls/4038c7c96b5642e9b7bd2c6cb0cccf68/index.m3u8
62,配电房2,bafd219ce5454d72a7a57691aa164bea,42011101581314000581,5,http://111.4.138.205:18080/hls/bafd219ce5454d72a7a57691aa164bea/index.m3u8
63,消控室,5b103ea066664c85924927bd04c21a19,42011101581314000580,6,http://111.4.138.205:18080/hls/5b103ea066664c85924927bd04c21a19/index.m3u8
64,消防泵房1,3fc0ddc9392248f3a8187b24ff9ee552,42011101581314000579,7,http://111.4.138.205:18080/hls/3fc0ddc9392248f3a8187b24ff9ee552/index.m3u8
65,消防泵房2,ce2386ff24f34ff8b026868ea93e406e,42011101581314000578,8,http://111.4.138.205:18080/hls/ce2386ff24f34ff8b026868ea93e406e/index.m3u8
66,垃圾场,cfdb002aae05492cab17f0e13cd364bf,42011101581314000558,1,http://111.4.138.205:18080/hls/cfdb002aae05492cab17f0e13cd364bf/index.m3u8
67,办公室,e4bc514168f648ac81dc7267f6da691c,42011101581314000557,2,http://111.4.138.205:18080/hls/e4bc514168f648ac81dc7267f6da691c/index.m3u8
68,配电室,ac6aeded2f5948e08f22546f7fd462c2,42011101581314000556,3,http://111.4.138.205:18080/hls/ac6aeded2f5948e08f22546f7fd462c2/index.m3u8
69,3号消防泵房,eb70248f588640b3a084b92efcca99ad,42011101581314000555,4,http://111.4.138.205:18080/hls/eb70248f588640b3a084b92efcca99ad/index.m3u8
70,3号水泵房,f9438115e54a4938972067098e9a6e44,42011101581314000554,5,http://111.4.138.205:18080/hls/f9438115e54a4938972067098e9a6e44/index.m3u8
71,垃圾站,13e9091000874a07bcc72a452a259c4e,42011101581314000548,1,http://111.4.138.205:18080/hls/13e9091000874a07bcc72a452a259c4e/index.m3u8
72,消防泵房,861ff71c72214a33bb6cdcfc11ed3536,42011101581314000547,2,http://111.4.138.205:18080/hls/861ff71c72214a33bb6cdcfc11ed3536/index.m3u8
73,生活泵房,b508b31077004732959b08af28970c45,42011101581314000546,3,http://111.4.138.205:18080/hls/b508b31077004732959b08af28970c45/index.m3u8
74,配电房1,04c25a5f18ad4d0cacf14c0c7ff7990c,42011101581314000545,4,http://111.4.138.205:18080/hls/04c25a5f18ad4d0cacf14c0c7ff7990c/index.m3u8
75,配电房2,9475279f5ec246c7acfe85fd45f969af,42011101581314000544,5,http://111.4.138.205:18080/hls/9475279f5ec246c7acfe85fd45f969af/index.m3u8
76,物业办公室走道,377a1ee290cf434d9cd003b5960e7aeb,42011101581314000541,1,http://111.4.138.205:18080/hls/377a1ee290cf434d9cd003b5960e7aeb/index.m3u8
77,办公室前台,393a6692873445ab828262222fe2c916,42011101581314000540,2,http://111.4.138.205:18080/hls/393a6692873445ab828262222fe2c916/index.m3u8
78,B14高压配电房1,90bbbb48536e4c66ac5e95fc2fca46eb,42011101581314000539,4,http://111.4.138.205:18080/hls/90bbbb48536e4c66ac5e95fc2fca46eb/index.m3u8
79,B14消防泵房,48c3ebc5567345ff887e849f6695d316,42011101581314000538,5,http://111.4.138.205:18080/hls/48c3ebc5567345ff887e849f6695d316/index.m3u8
80,B14高压配电房2,83442bbf71ae4225b7da60fb03bd5334,42011101581314000537,6,http://111.4.138.205:18080/hls/83442bbf71ae4225b7da60fb03bd5334/index.m3u8
81,B14生活泵房,2494519002aa4ac0847ae68c198c4bff,42011101581314000536,7,http://111.4.138.205:18080/hls/2494519002aa4ac0847ae68c198c4bff/index.m3u8
82,B3监控室,213b7101c1af445895feaf65b75486da,42011101581314000535,1,http://111.4.138.205:18080/hls/213b7101c1af445895feaf65b75486da/index.m3u8
83,B3物业前台,3d7d7e6c5bda46aa8949bad044547602,42011101581314000534,2,http://111.4.138.205:18080/hls/3d7d7e6c5bda46aa8949bad044547602/index.m3u8
84,俪湖天地前台,eed9598ea18345c7949350f9bb1309a6,42011101581314000533,1,http://111.4.138.205:18080/hls/eed9598ea18345c7949350f9bb1309a6/index.m3u8
